Alasdair Dickinson,Loosehead Prop
Cian Healy,Loosehead Prop
Gethin Jenkins,Loosehead Prop
Jack McGrath,Loosehead Prop
Joe Marler,Loosehead Prop
Mako Vunipola,Loosehead Prop
Nicky Smith,Loosehead Prop
Alan Dell,Loosehead Prop
Rob Evans,Loosehead Prop
Dan Cole,
Tadhg Furlong,Tighthead Prop
WP Nel,Tighthead Prop
Kyle Sinckler,Tighthead Prop
Finlay Bealham,Tighthead Prop
Samson Lee,Tighthead Prop
Thomas Francis,Tighthead Prop
Zander Fagerson,Tighthead Prop
Dylan Hartley,Hooker
Jamie George,Hooker
Rory Best,Hooker
Ken Owens,Hooker
Tommy Taylor,Hooker
Sean Cronin,Hooker
Ross Ford,Hooker
Fraser Brown,Hooker
Donnacha Ryan,Second Row
Devin Toner,Second Row
Iain Henderson,Second Row
Ultan Dillane,Second Row
Maro Itoje,Second Row
George Kruis,Second Row
Joe Launchbury,Second Row
Courtney Lawes,Second Row
Alun Wyn Jones,Second Row
Luke Charteris,Second Row
Jonny Gray,Second Row
Richie Gray,Second Row
CJ Stander,Blindeside Flanker
Josh Van Der Flier ,Blindeside Flanker
Peter O’Mahony,Blindeside Flanker
Chris Robshaw,Blindeside Flanker
Tom Wood,Blindeside Flanker
Ross Moriarty,Blindeside Flanker
John Barclay,Blindeside Flanker
Robert Harley,Blindeside Flanker
Billy Vunipola,Number 8
Nathan Hughes,Number 8
Jamie Heaslip,Number 8
Taulupe Faletau,Number 8
Ryan Wilson,Number 8
Sean O’Brien,Openside Flanker
James Haskell,Openside Flanker
Jack Clifford,Openside Flanker
Teimana Harrison,Openside Flanker
Sam Warburton,Openside Flanker
Justin Tipuric,Openside Flanker
Hamish Watson,Openside Flanker
John Hardie,Openside Flanker
Conor Murray,Scrum Half
Ben Youngs,Scrum Half
Danny Care,Scrum Half
Rhys Webb,Scrum Half
Gareth Davies,Scrum Half
Greig Laidlaw,Scrum Half
Johnny Sexton,Outside Half
Paddy Jackson,Outside Half
George Ford,Outside Half
Dan Biggar,Outside Half
Sam Davies,Outside Half
Finn Russell,Outside Half
Robbie Henshaw,Inside Centre
Ben Te’o,Inside Centre
Jamie Roberts,Inside Centre
Scott Williams,Inside Centre
Alex Dunbar,Inside Centre
Duncan Taylor,Inside Centre
Matt Scott,Inside Centre
Super Gavin Henson,Inside Centre
Jared Payne,Outside Centre
Garry Ringrose,Outside Centre
 Luke Marshall,Outside Centre
Jonathan Joseph,Outside Centre
Henry Slade,Outside Centre
Elliot Daly,Outside Centre
Jonathan Davies,Outside Centre
Keith Earls ,Wings
Craig Gilroy,Wings
"Andrew Trimble,",Wings
Tommy Bowe,Wings
Tommy Seymour,Wings
Tim Visser,Wings
Sean Maitland,Wings
 Jack Nowell,Wings
Jonny May,Wings
Anthony Watson,Wings
 Semesa Rokoduguni,Wings
Chris Ashton,Wings
Christian Wade,Wings
Marland Yarde,Wings
Denny Solomona,Wings
George North,Wings
Keelan Giles,Wings
Rob Kearney,Fullback 
Simon Zebo,Fullback 
Tiernan O’Halloran,Fullback 
Mike Brown,Fullback 
Alex Goode,Fullback 
"Leigh Halfpenny,",Fullback 
Liam Williams,Fullback 
Stuart Hogg,Fullback 